"origin";"destiny"
"Santos, BR";"Paranaguá, BR"
"Santos, BR";"Suape, BR"
"Santos, BR";"Itaqui, BR"
"Santos, BR";"Vila do Conde, BR"
"Santos, BR";"Manaus, BR"
"Santos, BR";"Rotterdam, NL"
"Santos, BR";"Houston, US"
"Santos, BR";"Vancouver, CA"
"Santos, BR";"Shanghai, CN"
"Santos, BR";"Nanjing, CN"
"Santos, BR";"Hong Kong, HK"
"Paranaguá, BR";"Santos, BR"
"Paranaguá, BR";"Suape, BR"
"Paranaguá, BR";"Itaqui, BR"
"Paranaguá, BR";"Vila do Conde, BR"
"Paranaguá, BR";"Manaus, BR"
"Paranaguá, BR";"Rotterdam, NL"
"Paranaguá, BR";"Houston, US"
"Paranaguá, BR";"Vancouver, CA"
"Paranaguá, BR";"Shanghai, CN"
"Paranaguá, BR";"Nanjing, CN"
"Paranaguá, BR";"Hong Kong, HK"
"Suape, BR";"Santos, BR"
"Suape, BR";"Paranaguá, BR"
"Suape, BR";"Itaqui, BR"
"Suape, BR";"Vila do Conde, BR"
"Suape, BR";"Manaus, BR"
"Suape, BR";"Rotterdam, NL"
"Suape, BR";"Houston, US"
"Suape, BR";"Vancouver, CA"
"Suape, BR";"Shanghai, CN"
"Suape, BR";"Nanjing, CN"
"Suape, BR";"Hong Kong, HK"
"Itaqui, BR";"Santos, BR"
"Itaqui, BR";"Paranaguá, BR"
"Itaqui, BR";"Suape, BR"
"Itaqui, BR";"Vila do Conde, BR"
"Itaqui, BR";"Manaus, BR"
"Itaqui, BR";"Rotterdam, NL"
"Itaqui, BR";"Houston, US"
"Itaqui, BR";"Vancouver, CA"
"Itaqui, BR";"Shanghai, CN"
"Itaqui, BR";"Nanjing, CN"
"Itaqui, BR";"Hong Kong, HK"
"Vila do Conde, BR";"Santos, BR"
"Vila do Conde, BR";"Paranaguá, BR"
"Vila do Conde, BR";"Suape, BR"
"Vila do Conde, BR";"Itaqui, BR"
"Vila do Conde, BR";"Manaus, BR"
"Vila do Conde, BR";"Rotterdam, NL"
"Vila do Conde, BR";"Houston, US"
"Vila do Conde, BR";"Vancouver, CA"
"Vila do Conde, BR";"Shanghai, CN"
"Vila do Conde, BR";"Nanjing, CN"
"Vila do Conde, BR";"Hong Kong, HK"
"Manaus, BR";"Santos, BR"
"Manaus, BR";"Paranaguá, BR"
"Manaus, BR";"Suape, BR"
"Manaus, BR";"Itaqui, BR"
"Manaus, BR";"Vila do Conde, BR"
"Manaus, BR";"Rotterdam, NL"
"Manaus, BR";"Houston, US"
"Manaus, BR";"Vancouver, CA"
"Manaus, BR";"Shanghai, CN"
"Manaus, BR";"Nanjing, CN"
"Manaus, BR";"Hong Kong, HK"
"Rotterdam, NL";"Santos, BR"
"Rotterdam, NL";"Paranaguá, BR"
"Rotterdam, NL";"Suape, BR"
"Rotterdam, NL";"Itaqui, BR"
"Rotterdam, NL";"Vila do Conde, BR"
"Rotterdam, NL";"Manaus, BR"
"Rotterdam, NL";"Houston, US"
"Rotterdam, NL";"Vancouver, CA"
"Rotterdam, NL";"Shanghai, CN"
"Rotterdam, NL";"Nanjing, CN"
"Rotterdam, NL";"Hong Kong, HK"
"Houston, US";"Santos, BR"
"Houston, US";"Paranaguá, BR"
"Houston, US";"Suape, BR"
"Houston, US";"Itaqui, BR"
"Houston, US";"Vila do Conde, BR"
"Houston, US";"Manaus, BR"
"Houston, US";"Rotterdam, NL"
"Houston, US";"Vancouver, CA"
"Houston, US";"Shanghai, CN"
"Houston, US";"Nanjing, CN"
"Houston, US";"Hong Kong, HK"
"Vancouver, CA";"Santos, BR"
"Vancouver, CA";"Paranaguá, BR"
"Vancouver, CA";"Suape, BR"
"Vancouver, CA";"Itaqui, BR"
"Vancouver, CA";"Vila do Conde, BR"
"Vancouver, CA";"Manaus, BR"
"Vancouver, CA";"Rotterdam, NL"
"Vancouver, CA";"Houston, US"
"Vancouver, CA";"Shanghai, CN"
"Vancouver, CA";"Nanjing, CN"
"Vancouver, CA";"Hong Kong, HK"
"Shanghai, CN";"Santos, BR"
"Shanghai, CN";"Paranaguá, BR"
"Shanghai, CN";"Suape, BR"
"Shanghai, CN";"Itaqui, BR"
"Shanghai, CN";"Vila do Conde, BR"
"Shanghai, CN";"Manaus, BR"
"Shanghai, CN";"Rotterdam, NL"
"Shanghai, CN";"Houston, US"
"Shanghai, CN";"Vancouver, CA"
"Shanghai, CN";"Nanjing, CN"
"Shanghai, CN";"Hong Kong, HK"
"Nanjing, CN";"Santos, BR"
"Nanjing, CN";"Paranaguá, BR"
"Nanjing, CN";"Suape, BR"
"Nanjing, CN";"Itaqui, BR"
"Nanjing, CN";"Vila do Conde, BR"
"Nanjing, CN";"Manaus, BR"
"Nanjing, CN";"Rotterdam, NL"
"Nanjing, CN";"Houston, US"
"Nanjing, CN";"Vancouver, CA"
"Nanjing, CN";"Shanghai, CN"
"Nanjing, CN";"Hong Kong, HK"
"Hong Kong, HK";"Santos, BR"
"Hong Kong, HK";"Paranaguá, BR"
"Hong Kong, HK";"Suape, BR"
"Hong Kong, HK";"Itaqui, BR"
"Hong Kong, HK";"Vila do Conde, BR"
"Hong Kong, HK";"Manaus, BR"
"Hong Kong, HK";"Rotterdam, NL"
"Hong Kong, HK";"Houston, US"
"Hong Kong, HK";"Vancouver, CA"
"Hong Kong, HK";"Shanghai, CN"
"Hong Kong, HK";"Nanjing, CN"
