"origem";"destino";"pre�o";"companhia";"idFrete"
Ningbo;Rotterdam;$ 14800;COSU;1953730
Ningbo;Rotterdam;$ 14800;CMA CGM;1953731
Qingdao;Southampton;$ 11220;EVERGREEN;1953732
Shanghai;Hamburg;$ 7500;HLCU;1953733
Ningbo;Rotterdam;$ 8400;DFA SPECIAL OFFER;1953734
Ningbo;Rotterdam;$ 8600;OOCL;1953735
Ningbo;Rotterdam;$ 8600;EVERGREEN;1953736
Ningbo;Rotterdam;$ 8600;COSU;1953737
Ningbo;Rotterdam;$ 8600;CMA CGM;1953738
Calcutta;Colombo;$ 1540;PERMA;1953739
Dongguan;Rotterdam;$ 9790;EVERGREEN;1953740
Qingdao;Montreal;$ 13500;HLCU;1953741
Shanghai;Hamburg;$ 15960;EVERGREEN;1953742
Shanghai;Hamburg;$ 14700;COSU;1953743
Shanghai;Hamburg;$ 14500;HLCU;1953744
Istanbul;Shanghai;$ 1418;EVERGREEN;1953745
Shanghai;Hamburg;$ 10450;EVERGREEN;1953746
Shanghai;Hamburg;$ 8650;COSU;1953747
Shanghai;Hamburg;$ 7500;HLCU;1953748
Qingdao;Montreal;$ 13500;HLCU;1953749
Saint Petersburg;Rotterdam;$ 1056;UNIFEEDER;1953750
Dongguan;Rotterdam;$ 9790;EVERGREEN;1953751
Genova;Karachi;$ 2911;CMA CGM;1953752
Gdynia;Felixstowe;$ 1199;UNIFEEDER;1953753
Saint Petersburg;Rotterdam;$ 1056;UNIFEEDER;1953754
Gdynia;Liverpool;$ 1189;UNIFEEDER;1953755
Dongguan;Rotterdam;$ 9790;EVERGREEN;1953756
Dongguan;Rotterdam;$ 15435;EVERGREEN;1953757
Yiwu;Odessa;$ 9680;EVERGREEN;1953758
Yiwu;Odessa;$ 9600;MSC;1953759
Gdynia;South Shields;$ 1184;UNIFEEDER;1953760
Gdynia;South Shields;$ 1184;UNIFEEDER;1953761
Izhevsk;Yerevan;$ 4074;OPTION;1953762
Yantian;Tallinn;$ 10670;EVERGREEN;1953763
Ningbo;Rotterdam;$ 8400;DFA SPECIAL OFFER;1953764
Qingdao;Montreal;$ 17500;HLCU;1953765
Ningbo;Rotterdam;$ 13400;DFA SPECIAL OFFER;1953766
Qingdao;Montreal;$ 17500;HLCU;1953767
Jebel Ali;Nhava Sheva;$ 212;HLCU;1953768
Jebel Ali;Nhava Sheva;$ 365;CMA CGM;1953769
Jebel Ali;Nhava Sheva;$ 149;PERMA;1953770
Jiaxing;St Petersburg;$ 15540;EVERGREEN;1953771
Qingdao;Montreal;$ 17500;HLCU;1953772
Jiaxing;St Petersburg;$ 15540;EVERGREEN;1953773
Qingdao;Montreal;$ 13500;HLCU;1953774
Jiaxing;St Petersburg;$ 15540;EVERGREEN;1953775
Qingdao;Montreal;$ 17500;HLCU;1953776
Jebel Ali;Shanghai;$ 762;EVERGREEN;1953777
Qingdao;Koper;$ 14700;CMA CGM;1953778
Qingdao;Montreal;$ 13500;HLCU;1953779
Jebel Ali;Shanghai;$ 550;EVERGREEN;1953780
Jebel Ali;Mumbai;$ 1039;HLCU;1953781
Jebel Ali;Mumbai;$ 855;HLCU;1953782
Jebel Ali;Mumbai;$ 1286;CMA CGM;1953783
Jebel Ali;Mumbai;$ 528;CMA CGM;1953784
Jebel Ali;Mumbai;$ 284;PERMA;1953785
Karachi;Hamburg;$ 8500;HLCU;1953786
Guangzhou;Manzanillo;$ 10780;EVERGREEN;1953787
Taicang;Rotterdam;$ 13400;DFA SPECIAL OFFER;1953788
